ofsI,magI,ofsQ,magQ,cfgSource,reserved0,lowLevCfg,reserved1,postStatus,reserved2
16,232,14,161,0,6149764,4294967295,18446744073709551615,0,0
26,179,-16,164,0,10572381,4294967295,18446744073709551615,0,0
0,93,-16,146,0,11444154,4294967295,18446744073709551615,0,0
-4,239,-3,173,0,7824368,4294967295,18446744073709551615,0,0
2,153,-14,129,0,14858592,4294967295,18446744073709551615,0,0
5,234,4,242,0,5557388,4294967295,18446744073709551615,0,0
-12,202,-14,194,0,6302433,4294967295,18446744073709551615,0,0
6,138,-25,149,0,8061935,4294967295,18446744073709551615,0,0
-4,145,7,130,0,16595408,4294967295,18446744073709551615,0,0
-8,147,-17,132,0,13325750,4294967295,18446744073709551615,0,0
3,153,-2,132,0,6090953,4294967295,18446744073709551615,0,0
11,206,-11,178,0,2840067,4294967295,18446744073709551615,0,0
11,255,0,255,0,2768402,4294967295,18446744073709551615,0,0
7,237,-21,226,0,6668663,4294967295,18446744073709551615,0,0
9,182,-10,154,0,2944119,4294967295,18446744073709551615,0,0
11,168,-9,161,0,9725254,4294967295,18446744073709551615,0,0
-17,86,-5,65,0,7079382,4294967295,18446744073709551615,0,0
5,228,-9,190,0,12710052,4294967295,18446744073709551615,0,0
2,177,-7,158,0,3793971,4294967295,18446744073709551615,0,0
2,221,-7,198,0,11079194,4294967295,18446744073709551615,0,0
4,227,-10,206,0,9600289,4294967295,18446744073709551615,0,0
13,255,0,237,0,3821085,4294967295,18446744073709551615,0,0
15,134,-8,172,0,12474743,4294967295,18446744073709551615,0,0
-14,183,-15,178,0,9696028,4294967295,18446744073709551615,0,0
6,177,-11,161,0,14871548,4294967295,18446744073709551615,0,0
-18,181,-15,152,0,10923171,4294967295,18446744073709551615,0,0
10,192,-9,191,0,11089395,4294967295,18446744073709551615,0,0
1,181,-6,159,0,4924951,4294967295,18446744073709551615,0,0
11,190,-12,178,0,4758587,4294967295,18446744073709551615,0,0
4,195,-10,177,0,7510346,4294967295,18446744073709551615,0,0
12,208,-9,164,0,1742142,4294967295,18446744073709551615,0,0
5,226,-12,223,0,10679046,4294967295,18446744073709551615,0,0
13,195,-17,176,0,14612173,4294967295,18446744073709551615,0,0
2,227,-16,214,0,2704974,4294967295,18446744073709551615,0,0
8,255,-11,227,0,11245223,4294967295,18446744073709551615,0,0
8,218,-11,195,0,7800000,4294967295,18446744073709551615,0,0
13,216,-18,207,0,12252026,4294967295,18446744073709551615,0,0
5,232,0,192,0,12883834,4294967295,18446744073709551615,0,0
3,166,-5,145,0,15720456,4294967295,18446744073709551615,0,0
2,255,-19,255,0,16679782,4294967295,18446744073709551615,0,0
12,237,-22,235,0,3660363,4294967295,18446744073709551615,0,0
11,255,1,216,0,8037098,4294967295,18446744073709551615,0,0
11,255,-3,255,0,4869300,4294967295,18446744073709551615,0,0
15,222,-35,219,0,13859991,4294967295,18446744073709551615,0,0
-1,111,-1,88,0,12626465,4294967295,18446744073709551615,0,0
11,134,-10,99,0,7290678,4294967295,18446744073709551615,0,0
5,194,-12,194,0,10529500,4294967295,18446744073709551615,0,0
8,235,3,251,0,8129207,4294967295,18446744073709551615,0,0
22,243,-20,244,0,15467584,4294967295,18446744073709551615,0,0
12,186,-12,179,0,269627,4294967295,18446744073709551615,0,0
8,183,-5,157,0,2791675,4294967295,18446744073709551615,0,0
24,255,-8,199,0,10118222,4294967295,18446744073709551615,0,0
5,224,-8,203,0,8606875,4294967295,18446744073709551615,0,0
0,236,3,227,0,5875853,4294967295,18446744073709551615,0,0
21,238,-11,186,0,7757927,4294967295,18446744073709551615,0,0
10,206,-2,182,0,16259663,4294967295,18446744073709551615,0,0
2,222,-12,208,0,3671455,4294967295,18446744073709551615,0,0
46,255,-32,255,0,8580482,4294967295,18446744073709551615,0,0
20,177,-3,138,0,12877162,4294967295,18446744073709551615,0,0
3,148,0,136,0,1579259,4294967295,18446744073709551615,0,0
16,137,-22,148,0,9325151,4294967295,18446744073709551615,0,0
-13,141,-12,78,0,15731935,4294967295,18446744073709551615,0,0
1,105,-9,84,0,13359698,4294967295,18446744073709551615,0,0
12,255,-8,228,0,529390,4294967295,18446744073709551615,0,0
0,171,-30,187,0,13649558,4294967295,18446744073709551615,0,0
10,228,0,249,0,8815509,4294967295,18446744073709551615,0,0
31,189,-17,169,0,9442542,4294967295,18446744073709551615,0,0
25,163,-7,100,0,10097987,4294967295,18446744073709551615,0,0
0,133,-5,113,0,7355629,4294967295,18446744073709551615,0,0
-14,113,-10,111,0,1087628,4294967295,18446744073709551615,0,0
20,255,-4,255,0,10443887,4294967295,18446744073709551615,0,0
4,255,-7,255,0,6245166,4294967295,18446744073709551615,0,0
-9,213,-42,255,0,11151112,4294967295,18446744073709551615,0,0
24,168,-12,176,0,1504551,4294967295,18446744073709551615,0,0
2,63,0,60,0,4585859,4294967295,18446744073709551615,0,0
3,170,-3,159,0,15348289,4294967295,18446744073709551615,0,0
0,214,-11,173,0,16735042,4294967295,18446744073709551615,0,0
8,82,13,118,0,7782831,4294967295,18446744073709551615,0,0
13,255,4,255,0,5398332,4294967295,18446744073709551615,0,0
25,192,-29,130,0,15146918,4294967295,18446744073709551615,0,0
10,130,3,129,0,7214737,4294967295,18446744073709551615,0,0
7,163,6,218,0,3023022,4294967295,18446744073709551615,0,0
14,117,-3,123,0,13240307,4294967295,18446744073709551615,0,0
5,195,-22,238,0,12176912,4294967295,18446744073709551615,0,0
-14,214,-10,255,0,8515385,4294967295,18446744073709551615,0,0
-18,180,-22,180,0,730879,4294967295,18446744073709551615,0,0
-14,191,-7,187,0,394181,4294967295,18446744073709551615,0,0
3,185,20,255,0,2852388,4294967295,18446744073709551615,0,0
3,89,-16,95,0,10640498,4294967295,18446744073709551615,0,0
-2,123,-1,134,0,2648457,4294967295,18446744073709551615,0,0
