msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,1,38,57,8,19,13,47,121,14,0,0,30,0
1,1,37,57,8,19,13,47,122,14,0,0,29,0
1,1,39,57,8,19,13,47,123,14,0,0,29,0
1,1,38,57,8,19,13,47,124,14,0,0,30,0
1,1,38,57,8,19,13,47,125,14,0,0,31,0
1,1,40,57,8,19,13,47,126,14,0,0,30,0
1,1,41,57,8,19,13,47,127,14,0,0,31,0
1,1,43,57,8,19,13,47,128,14,0,0,30,0
1,1,43,57,8,19,13,47,129,14,0,0,30,0
1,1,40,57,8,19,13,47,130,14,0,0,30,0
1,1,40,57,8,19,13,47,131,14,0,0,28,0
1,1,40,57,8,19,13,47,132,14,0,0,29,0
1,1,39,57,8,19,13,47,133,14,0,0,29,0
1,1,39,57,8,19,13,47,134,14,0,0,29,0
1,1,40,57,8,19,13,47,135,14,0,0,28,0
1,1,43,57,8,19,13,47,136,14,0,0,30,0
1,1,43,57,8,19,13,47,137,14,0,0,33,0
1,1,44,57,8,19,13,47,138,14,0,0,30,0
1,1,41,57,8,19,13,47,139,14,0,0,31,0
1,1,42,57,8,19,13,47,140,14,0,0,29,0
1,1,44,57,8,19,13,47,141,14,0,0,30,0
1,1,48,57,8,19,13,47,142,14,0,0,31,0
1,1,44,57,8,19,13,47,143,14,0,0,30,0
1,1,45,57,8,19,13,47,144,14,0,0,29,0
1,1,45,57,8,19,13,47,145,14,0,0,31,0
1,1,45,57,8,19,13,47,146,14,0,0,31,0
1,1,50,57,8,19,13,47,147,14,0,0,30,0
1,1,44,57,8,19,13,47,148,14,0,0,30,0
1,1,43,57,8,19,13,47,149,14,0,0,30,0
1,1,45,57,8,19,13,47,150,14,0,0,29,0
1,1,44,57,8,19,13,47,151,14,0,0,30,0
1,1,44,57,8,19,13,47,152,14,0,0,29,0
1,1,44,57,8,19,13,47,153,14,0,0,32,0
1,1,44,57,8,19,13,47,154,14,0,0,30,0
1,1,45,57,8,19,13,47,155,14,0,0,29,0
1,1,45,57,8,19,13,47,156,14,0,0,31,0
1,1,44,57,8,19,13,47,157,14,0,0,28,0
1,1,45,57,8,19,13,47,158,14,0,0,31,0
1,1,46,57,8,19,13,47,159,14,0,0,30,0
1,1,42,57,8,19,13,47,160,14,0,0,30,0
1,1,43,57,8,19,13,47,161,14,0,0,30,0
1,1,43,57,8,19,13,47,162,14,0,0,31,0
1,1,44,57,8,19,13,47,163,14,0,0,31,0
1,1,45,57,8,19,13,47,164,14,0,0,29,0
1,1,46,57,8,19,14,47,165,14,0,0,31,0
1,1,42,57,8,19,13,47,166,14,0,0,31,0
1,1,43,57,8,19,13,47,167,14,0,0,31,0
1,1,43,57,8,19,13,47,168,14,0,0,30,0
1,1,44,57,8,19,13,47,169,14,0,0,31,0
1,1,43,57,8,19,13,47,170,14,0,0,30,0
1,1,42,57,8,19,13,47,171,14,0,0,30,0
1,1,41,57,8,19,13,47,172,14,0,0,32,0
1,1,42,57,8,19,13,47,173,14,0,0,30,0
1,1,43,57,8,19,13,47,174,14,0,0,31,0
1,1,45,57,8,19,13,47,175,14,0,0,29,0
1,1,44,57,8,19,13,47,176,14,0,0,30,0
1,1,46,57,8,19,13,47,177,14,0,0,31,0
1,1,49,57,8,19,13,47,178,14,0,0,30,0
1,1,48,57,8,19,13,47,179,14,0,0,30,0
1,1,47,57,8,19,13,47,180,14,0,0,31,0
1,1,46,57,8,19,13,47,181,14,0,0,29,0
1,1,47,57,8,19,13,47,182,14,0,0,32,0
1,1,48,57,8,19,13,47,183,14,0,0,30,0
1,1,46,57,8,19,13,47,184,14,0,0,32,0
1,1,44,57,8,19,13,47,185,14,0,0,31,0
1,1,45,57,8,19,13,47,186,14,0,0,30,0
1,1,50,57,8,19,13,47,187,14,0,0,31,0
1,1,45,57,8,19,13,47,188,14,0,0,30,0
1,1,46,57,8,19,13,47,189,14,0,0,31,0
1,1,45,57,8,19,13,47,190,14,0,0,33,0
1,1,42,57,8,19,13,47,191,14,0,0,30,0
1,1,43,57,8,19,13,47,192,14,0,0,30,0
1,1,46,57,8,19,13,47,193,14,0,0,30,0
1,1,45,57,8,19,13,47,194,14,0,0,30,0
1,1,44,57,8,19,13,47,195,14,0,0,30,0
1,1,45,57,8,19,13,47,196,14,0,0,29,0
1,1,45,57,8,19,13,47,197,14,0,0,30,0
1,1,45,57,8,19,13,47,198,14,0,0,31,0
1,1,50,57,8,19,13,47,199,14,0,0,30,0
1,1,48,57,8,19,13,47,200,14,0,0,31,0
1,1,47,57,8,19,13,47,201,14,0,0,33,0
1,1,49,57,8,19,13,47,202,14,0,0,32,0
1,1,48,57,8,19,13,47,203,14,0,0,31,0
1,1,49,57,8,19,13,47,204,14,0,0,31,0
1,1,48,57,8,19,13,47,205,14,0,0,30,0
1,1,48,57,8,19,13,47,206,14,0,0,30,0
1,1,47,57,8,19,13,47,207,14,0,0,31,0
1,1,47,57,8,19,13,47,208,14,0,0,30,0
1,1,51,57,8,19,13,47,209,14,0,0,32,0
1,1,52,57,8,19,13,47,210,14,0,0,32,0
1,1,49,57,8,19,13,47,211,14,0,0,30,0
1,1,50,57,8,19,13,47,212,14,0,0,31,0
1,1,51,57,8,19,13,47,213,14,0,0,30,0
1,1,51,57,8,19,13,47,214,14,0,0,31,0
1,1,50,57,8,19,13,47,215,14,0,0,31,0
1,1,49,57,8,19,13,47,216,14,0,0,31,0
1,1,51,57,8,19,13,47,217,14,0,0,31,0
1,1,51,57,8,19,13,47,218,14,0,0,30,0
1,1,51,57,8,19,13,47,219,14,0,0,31,0
1,1,54,57,11,19,13,47,220,14,0,0,31,0
1,1,50,57,8,19,13,47,221,14,0,0,30,0
1,1,53,57,8,19,13,47,222,14,0,0,29,0
1,1,54,57,8,19,13,47,223,14,0,0,30,0
1,1,52,57,8,19,13,47,224,14,0,0,31,0
1,1,54,57,8,19,13,47,225,14,0,0,32,0
1,1,54,57,8,19,13,47,226,14,0,0,31,0
1,1,53,57,8,19,13,47,227,14,0,0,30,0
1,1,54,57,8,19,13,47,228,14,0,0,32,0
1,1,53,57,8,19,13,47,229,14,0,0,31,0
1,1,53,57,11,19,13,47,230,14,0,0,31,0
1,1,53,57,8,19,13,47,231,14,0,0,31,0
1,1,49,57,8,19,13,47,232,14,0,0,33,0
1,1,48,57,8,19,13,47,233,14,0,0,31,0
1,1,49,57,8,19,13,47,234,14,0,0,31,0
1,1,49,57,8,19,13,47,235,14,0,0,32,0
1,1,52,57,8,19,13,47,236,14,0,0,32,0
1,1,51,57,8,19,13,47,237,14,0,0,32,0
1,1,51,57,8,19,13,47,238,14,0,0,30,0
1,1,51,57,8,19,13,47,239,14,0,0,31,0
1,1,54,57,8,19,13,47,240,14,0,0,30,0
1,1,55,57,8,19,13,47,241,14,0,0,31,0
1,1,54,57,8,19,13,47,242,14,0,0,31,0
1,1,55,57,8,19,13,47,243,14,0,0,31,0
1,1,54,57,8,19,13,47,244,14,0,0,29,0
1,1,53,57,8,19,13,47,245,14,0,0,31,0
1,1,51,57,8,19,13,47,246,14,0,0,31,0
1,1,55,57,8,19,13,47,247,14,0,0,30,0
1,1,53,57,8,19,13,47,248,14,0,0,31,0
1,1,53,57,8,19,13,47,249,14,0,0,33,0
1,1,52,57,8,19,13,47,250,14,0,0,29,0
1,1,51,57,8,19,13,47,251,14,0,0,33,0
1,1,51,57,8,19,13,47,252,14,0,0,31,0
1,1,50,57,8,19,13,47,253,14,0,0,32,0
