iTOW,gDOP,pDOP,tDOP,vDOP,hDOP,nDOP,eDOP
93890000,3.77,3.01,2.26,2.61,1.51,0.75,1.31
93891000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93892000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93893000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93894000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93895000,3.73,2.97,2.26,2.59,1.47,0.74,1.26
93896000,3.73,2.97,2.26,2.58,1.47,0.74,1.26
93897000,3.73,2.97,2.26,2.58,1.47,0.74,1.26
93898000,3.63,2.89,2.2,2.51,1.44,0.74,1.23
93899000,3.63,2.89,2.2,2.51,1.44,0.74,1.23
93900000,3.63,2.89,2.2,2.51,1.44,0.74,1.23
93901000,3.63,2.89,2.2,2.51,1.44,0.74,1.23
93902000,3.63,2.89,2.2,2.5,1.44,0.74,1.23
93903000,3.28,2.61,1.99,2.24,1.33,0.7,1.13
93904000,3.28,2.61,1.99,2.24,1.33,0.7,1.13
93905000,3.28,2.61,1.99,2.24,1.33,0.7,1.13
93906000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93907000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93908000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93909000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93910000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93911000,3.07,2.45,1.84,2.07,1.31,0.7,1.12
93912000,3.07,2.45,1.84,2.07,1.31,0.69,1.12
93913000,3.07,2.45,1.84,2.07,1.31,0.69,1.12
93914000,3.07,2.45,1.84,2.07,1.31,0.69,1.12
93915000,3.07,2.45,1.84,2.07,1.31,0.69,1.12
93916000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93917000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93918000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93919000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93920000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93921000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93922000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93923000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93924000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93925000,3.06,2.45,1.84,2.07,1.31,0.69,1.11
93926000,3.06,2.45,1.84,2.06,1.31,0.69,1.11
93927000,2.3,1.88,1.33,1.57,1.03,0.68,0.77
