version,reserved0,iTOW,distance,totalDistance,distanceStd
0,0,93890000,0,0,0
0,0,93891000,0,0,0
0,0,93892000,0,0,0
0,0,93893000,0,0,0
0,0,93894000,0,0,0
0,0,93895000,0,0,0
0,0,93896000,0,0,0
0,0,93897000,0,0,0
0,0,93898000,0,0,0
0,0,93899000,0,0,0
0,0,93900000,0,0,0
0,0,93901000,0,0,0
0,0,93902000,0,0,0
0,0,93903000,0,0,0
0,0,93904000,0,0,0
0,0,93905000,0,0,0
0,0,93906000,0,0,0
0,0,93907000,0,0,0
0,0,93908000,0,0,0
0,0,93909000,0,0,0
0,0,93910000,0,0,0
0,0,93911000,0,0,0
0,0,93912000,0,0,0
0,0,93913000,0,0,0
0,0,93914000,0,0,0
0,0,93915000,0,0,0
0,0,93916000,0,0,0
0,0,93917000,0,0,0
0,0,93918000,0,0,0
0,0,93919000,0,0,0
0,0,93920000,0,0,0
0,0,93921000,0,0,0
0,0,93922000,0,0,0
0,0,93923000,0,0,0
0,0,93924000,0,0,0
0,0,93925000,0,0,0
0,0,93926000,0,0,0
0,0,93927000,0,0,0
0,0,93928000,0,0,0
0,0,93929000,0,0,0
0,0,93930000,0,0,0
0,0,93931000,0,0,0
0,0,93932000,0,0,0
0,0,93933000,0,0,0
0,0,93934000,0,0,0
0,0,93935000,0,0,0
0,0,93936000,0,0,0
0,0,93937000,0,0,0
0,0,93938000,0,0,0
0,0,93939000,0,0,0
0,0,93940000,0,0,0
0,0,93941000,0,0,0
0,0,93942000,0,0,0
0,0,93943000,0,0,0
0,0,93944000,0,0,0
0,0,93945000,0,0,0
0,0,93946000,0,0,0
0,0,93947000,0,0,0
0,0,93948000,0,0,0
0,0,93949000,0,0,0
0,0,93950000,0,0,0
0,0,93951000,0,0,0
0,0,93952000,0,0,0
0,0,93953000,0,0,0
0,0,93954000,0,0,0
0,0,93955000,0,0,0
0,0,93956000,0,0,0
0,0,93957000,0,0,0
0,0,93958000,0,0,0
0,0,93959000,0,0,0
0,0,93960000,0,0,0
0,0,93961000,0,0,0
0,0,93962000,0,0,0
0,0,93963000,0,0,0
0,0,93964000,0,0,0
0,0,93965000,0,0,0
0,0,93966000,0,0,0
0,0,93967000,0,0,0
0,0,93968000,0,0,0
0,0,93969000,0,0,0
0,0,93970000,0,0,0
0,0,93971000,0,0,0
0,0,93972000,0,0,0
0,0,93973000,0,0,0
0,0,93974000,0,0,0
0,0,93975000,0,0,0
0,0,93976000,0,0,0
0,0,93977000,0,0,0
0,0,93978000,0,0,0
0,0,93979000,0,0,0
0,0,93980000,0,0,0
0,0,93981000,0,0,0
0,0,93982000,0,0,0
0,0,93983000,0,0,0
0,0,93984000,0,0,0
0,0,93985000,0,0,0
0,0,93986000,0,0,0
0,0,93987000,0,0,0
0,0,93988000,0,0,0
0,0,93989000,0,0,0
0,0,93990000,0,0,0
0,0,93991000,0,0,0
0,0,93992000,0,0,0
0,0,93993000,0,0,0
0,0,93994000,0,0,0
0,0,93995000,0,0,0
0,0,93996000,0,0,0
0,0,93997000,0,0,0
0,0,93998000,0,0,0
0,0,93999000,0,0,0
0,0,94000000,0,0,0
0,0,94001000,0,0,0
0,0,94002000,0,0,0
0,0,94003000,0,0,0
0,0,94004000,0,0,0
0,0,94005000,0,0,0
0,0,94006000,0,0,0
0,0,94007000,0,0,0
0,0,94008000,0,0,0
0,0,94009000,0,0,0
0,0,94010000,0,0,0
0,0,94011000,0,0,0
0,0,94012000,0,0,0
0,0,94013000,0,0,0
0,0,94014000,0,0,0
0,0,94015000,0,0,0
0,0,94016000,0,0,0
0,0,94017000,0,0,0
0,0,94018000,0,0,0
0,0,94019000,0,0,0
0,0,94020000,0,0,0
0,0,94021000,0,0,0
0,0,94022000,0,0,0
0,0,94023000,0,0,0
0,0,94024000,0,0,0
0,0,94025000,0,0,0
0,0,94026000,0,0,0
0,0,94027000,0,0,0
0,0,94028000,0,0,0
0,0,94029000,0,0,0
0,0,94030000,0,0,0
0,0,94031000,0,0,0
0,0,94032000,0,0,0
0,0,94033000,0,0,0
0,0,94034000,0,0,0
0,0,94035000,0,0,0
0,0,94036000,0,0,0
0,0,94037000,0,0,0
0,0,94038000,0,0,0
0,0,94039000,0,0,0
0,0,94040000,0,0,0
0,0,94041000,0,0,0
0,0,94042000,0,0,0
0,0,94043000,0,0,0
