version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,93890000,84863,160734,255394,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93891000,78708,146736,235936,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93892000,77062,142753,231558,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93893000,75362,138995,226961,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93894000,73894,135736,222846,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93895000,72900,132885,219881,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93896000,71497,129541,215776,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93897000,71347,128756,215341,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93898000,67714,121858,203801,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93899000,67134,119566,201322,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93900000,66631,117323,199183,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93901000,66233,115616,198099,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93902000,66746,115912,199686,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93903000,62808,108772,187352,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93904000,61423,106337,183255,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93905000,60093,103832,179023,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93906000,56998,97903,169066,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93907000,56118,95937,166232,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93908000,54915,93270,162091,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93909000,53570,90634,157809,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93910000,52328,88635,154121,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93911000,51206,86801,150699,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93912000,51203,86752,150422,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,93913000,50391,85304,147770,0,0,0,0,0,0,0
