iTOW,ecefX,ecefY,ecefZ,pAcc
93890000,-241819685,538575560,240576882,1047
93891000,-241819692,538575555,240576879,1022
93892000,-241819692,538575548,240576874,1000
93893000,-241819685,538575532,240576869,977
93894000,-241819681,538575522,240576864,957
93895000,-241819678,538575517,240576860,942
93896000,-241819676,538575514,240576857,925
93897000,-241819661,538575503,240576854,924
93898000,-241819655,538575505,240576850,919
93899000,-241819651,538575513,240576845,909
93900000,-241819655,538575523,240576844,900
93901000,-241819635,538575502,240576841,895
93902000,-241819650,538575485,240576836,884
93903000,-241819695,538575490,240576832,862
93904000,-241819669,538575472,240576826,845
93905000,-241819647,538575464,240576824,827
93906000,-241819642,538575461,240576821,807
93907000,-241819714,538575505,240576836,795
93908000,-241819720,538575506,240576837,776
93909000,-241819713,538575508,240576835,760
93910000,-241819721,538575508,240576841,747
93911000,-241819714,538575507,240576839,735
93912000,-241819725,538575512,240576841,726
93913000,-241819710,538575515,240576829,715
93914000,-241819697,538575513,240576826,703
93915000,-241819695,538575508,240576825,693
93916000,-241819690,538575500,240576823,685
93917000,-241819702,538575510,240576827,679
93918000,-241819711,538575519,240576831,674
93919000,-241819719,538575527,240576835,670
93920000,-241819724,538575532,240576838,666
93921000,-241819728,538575537,240576840,662
93922000,-241819733,538575543,240576842,659
93923000,-241819734,538575548,240576843,656
93924000,-241819744,538575559,240576847,654
93925000,-241819750,538575564,240576849,653
93926000,-241819769,538575584,240576863,650
93927000,-241819778,538575595,240576869,647
93928000,-241819788,538575614,240576876,644
93929000,-241819795,538575616,240576877,639
93930000,-241819820,538575627,240576882,634
93931000,-241819843,538575641,240576890,626
93932000,-241819862,538575649,240576891,619
93933000,-241819892,538575668,240576897,614
93934000,-241819911,538575687,240576900,609
93935000,-241819940,538575723,240576919,602
93936000,-241819992,538575766,240576936,586
93937000,-241820031,538575805,240576947,572
93938000,-241820058,538575831,240576947,559
93939000,-241820084,538575860,240576952,549
93940000,-241820123,538575910,240576964,542
93941000,-241820145,538575950,240576995,537
93942000,-241820140,538575975,240577005,527
93943000,-241820126,538576006,240577001,518
93944000,-241820090,538576037,240576976,509
93945000,-241820058,538576089,240576957,501
93946000,-241820055,538576131,240576940,493
93947000,-241820045,538576167,240576927,486
93948000,-241820047,538576182,240576925,480
93949000,-241820059,538576189,240576932,475
93950000,-241820074,538576197,240576937,470
93951000,-241820091,538576206,240576940,464
93952000,-241820086,538576221,240576937,459
93953000,-241820067,538576253,240576928,454
93954000,-241820044,538576300,240576896,450
93955000,-241820027,538576336,240576852,445
93956000,-241820004,538576354,240576807,440
93957000,-241819989,538576374,240576784,437
93958000,-241819972,538576392,240576763,433
93959000,-241819948,538576430,240576717,429
93960000,-241819934,538576462,240576670,426
93961000,-241819939,538576483,240576622,423
93962000,-241819964,538576513,240576560,421
93963000,-241820002,538576560,240576489,417
93964000,-241820077,538576589,240576425,412
93965000,-241820159,538576595,240576362,408
93966000,-241820237,538576610,240576302,405
93967000,-241820312,538576613,240576250,402
93968000,-241820383,538576611,240576196,398
93969000,-241820450,538576607,240576165,396
93970000,-241820530,538576595,240576144,395
93971000,-241820606,538576610,240576138,394
93972000,-241820676,538576594,240576124,390
93973000,-241820749,538576590,240576121,386
93974000,-241820815,538576553,240576113,384
