iTOW,lon,lat,height,hMSL,hAcc,vAcc
93890000,114.1800146,22.3056983,10790,12403,5973,8596
93891000,114.1800154,22.305698,10768,12381,5789,8426
93892000,114.1800157,22.3056979,10692,12306,5630,8263
93893000,114.1800158,22.305698,10505,12118,5477,8093
93894000,114.1800158,22.305698,10390,12004,5344,7940
93895000,114.1800157,22.3056979,10322,11935,5232,7830
93896000,114.1800157,22.3056977,10280,11894,5114,7702
93897000,114.1800147,22.3056981,10115,11728,5101,7709
93898000,114.1800142,22.3056977,10098,11711,5068,7669
93899000,114.1800135,22.3056971,10130,11743,4993,7595
93900000,114.1800134,22.3056966,10225,11838,4920,7534
93901000,114.1800125,22.3056973,9961,11574,4868,7514
93902000,114.1800145,22.3056973,9851,11465,4791,7433
93903000,114.1800183,22.3056961,10054,11667,4668,7252
93904000,114.1800167,22.3056966,9781,11394,4572,7111
93905000,114.180015,22.3056969,9616,11230,4471,6961
93906000,114.1800148,22.3056968,9566,11179,4354,6799
93907000,114.1800193,22.3056957,10266,11879,4280,6703
93908000,114.1800199,22.3056957,10303,11916,4169,6548
93909000,114.1800192,22.3056955,10288,11901,4074,6414
93910000,114.1800198,22.305696,10338,11951,4004,6303
93911000,114.1800193,22.3056959,10294,11908,3941,6201
93912000,114.1800201,22.3056957,10384,11998,3898,6129
93913000,114.1800186,22.3056949,10312,11925,3838,6034
93914000,114.1800176,22.3056948,10226,11840,3769,5932
93915000,114.1800176,22.3056949,10175,11789,3709,5851
93916000,114.1800174,22.3056951,10081,11695,3663,5788
93917000,114.1800181,22.305695,10232,11845,3637,5733
93918000,114.1800186,22.3056949,10354,11967,3615,5686
93919000,114.1800189,22.3056948,10468,12081,3599,5649
93920000,114.1800192,22.3056949,10536,12149,3580,5614
93921000,114.1800194,22.3056949,10602,12215,3565,5581
93922000,114.1800195,22.3056948,10681,12294,3551,5551
93923000,114.1800194,22.3056947,10728,12342,3539,5523
93924000,114.1800199,22.3056945,10873,12486,3533,5505
93925000,114.1800203,22.3056945,10951,12564,3531,5491
93926000,114.1800211,22.3056947,11245,12859,3525,5466
93927000,114.1800215,22.3056947,11395,13008,3505,5434
93928000,114.1800216,22.3056946,11622,13235,3494,5415
93929000,114.1800221,22.3056945,11663,13276,3467,5370
93930000,114.1800239,22.3056942,11873,13487,3441,5330
93931000,114.1800254,22.3056942,12111,13724,3401,5254
93932000,114.1800267,22.3056937,12254,13868,3367,5195
93933000,114.1800287,22.3056932,12545,14158,3346,5149
