iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
93890000,3,1,0,1,1,0,1,0,0,1,0,68284,121784
93891000,3,1,0,1,1,0,1,0,0,1,0,68284,122784
93892000,3,1,0,1,1,0,1,0,0,1,0,68284,123784
93893000,3,1,0,1,1,0,1,0,0,1,0,68284,124784
93894000,3,1,0,1,1,0,1,0,0,1,0,68284,125784
93895000,3,1,0,1,1,0,1,0,0,1,0,68284,126784
93896000,3,1,0,1,1,0,1,0,0,1,0,68284,127784
93897000,3,1,0,1,1,0,1,0,0,1,0,68284,128784
93898000,3,1,0,1,1,0,1,0,0,1,0,68284,129784
93899000,3,1,0,1,1,0,1,0,0,1,0,68284,130784
93900000,3,1,0,1,1,0,1,0,0,1,0,68284,131784
93901000,3,1,0,1,1,0,1,0,0,1,0,68284,132784
93902000,3,1,0,1,1,0,1,0,0,1,0,68284,133784
93903000,3,1,0,1,1,0,1,0,0,1,0,68284,134784
93904000,3,1,0,1,1,0,1,0,0,1,0,68284,135784
93905000,3,1,0,1,1,0,1,0,0,1,0,68284,136784
93906000,3,1,0,1,1,0,1,0,0,1,0,68284,137784
93907000,3,1,0,1,1,0,1,0,0,1,0,68284,138784
93908000,3,1,0,1,1,0,1,0,0,1,0,68284,139784
93909000,3,1,0,1,1,0,1,0,0,1,0,68284,140784
93910000,3,1,0,1,1,0,1,0,0,1,0,68284,141784
93911000,3,1,0,1,1,0,1,0,0,1,0,68284,142784
93912000,3,1,0,1,1,0,1,0,0,1,0,68284,143784
93913000,3,1,0,1,1,0,1,0,0,1,0,68284,144784
93914000,3,1,0,1,1,0,1,0,0,1,0,68284,145784
93915000,3,1,0,1,1,0,1,0,0,1,0,68284,146784
93916000,3,1,0,1,1,0,1,0,0,1,0,68284,147784
93917000,3,1,0,1,1,0,1,0,0,1,0,68284,148784
93918000,3,1,0,1,1,0,1,0,0,1,0,68284,149784
93919000,3,1,0,1,1,0,1,0,0,1,0,68284,150784
93920000,3,1,0,1,1,0,1,0,0,1,0,68284,151784
93921000,3,1,0,1,1,0,1,0,0,1,0,68284,152784
93922000,3,1,0,1,1,0,1,0,0,1,0,68284,153784
93923000,3,1,0,1,1,0,1,0,0,1,0,68284,154784
