iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
93890000,93890,363342,1366,18,1,1,1,3357
93891000,93891,362998,1366,18,1,1,1,3356
93892000,93892,362655,1366,18,1,1,1,3356
93893000,93893,362311,1366,18,1,1,1,3356
93894000,93894,361968,1366,18,1,1,1,3355
93895000,93895,361625,1366,18,1,1,1,3355
93896000,93896,361282,1366,18,1,1,1,3355
93897000,93897,360938,1366,18,1,1,1,3355
93898000,93898,360594,1366,18,1,1,1,259
93899000,93899,360251,1366,18,1,1,1,258
93900000,93900,359912,1366,18,1,1,1,223
93901000,93901,359569,1366,18,1,1,1,223
93902000,93902,359216,1366,18,1,1,1,239
93903000,93903,358873,1366,18,1,1,1,239
93904000,93904,358550,1366,18,1,1,1,163
93905000,93905,358207,1366,18,1,1,1,162
93906000,93906,357859,1366,18,1,1,1,144
93907000,93907,357520,1366,18,1,1,1,102
93908000,93908,357175,1366,18,1,1,1,101
93909000,93909,356827,1366,18,1,1,1,73
93910000,93910,356487,1366,18,1,1,1,59
93911000,93911,356147,1366,18,1,1,1,51
93912000,93912,355806,1366,18,1,1,1,46
93913000,93913,355464,1366,18,1,1,1,42
93914000,93914,355122,1366,18,1,1,1,38
93915000,93915,354780,1366,18,1,1,1,36
93916000,93916,354438,1366,18,1,1,1,34
93917000,93917,354096,1366,18,1,1,1,33
93918000,93918,353753,1366,18,1,1,1,32
93919000,93919,353411,1366,18,1,1,1,31
93920000,93920,353068,1366,18,1,1,1,30
93921000,93921,352724,1366,18,1,1,1,29
93922000,93922,352382,1366,18,1,1,1,29
93923000,93923,352040,1366,18,1,1,1,28
93924000,93924,351698,1366,18,1,1,1,28
93925000,93925,351356,1366,18,1,1,1,27
93926000,93926,351014,1366,18,1,1,1,27
93927000,93927,350672,1366,18,1,1,1,27
93928000,93928,350330,1366,18,1,1,1,26
93929000,93929,349989,1366,18,1,1,1,26
93930000,93930,349648,1366,18,1,1,1,26
93931000,93931,349308,1366,18,1,1,1,25
93932000,93932,348968,1366,18,1,1,1,25
93933000,93933,348628,1366,18,1,1,1,24
93934000,93934,348289,1366,18,1,1,1,24
93935000,93935,347949,1366,18,1,1,1,24
93936000,93936,347608,1366,18,1,1,1,23
93937000,93937,347269,1366,18,1,1,1,22
93938000,93938,346930,1366,18,1,1,1,21
93939000,93939,346592,1366,18,1,1,1,21
93940000,93940,346253,1366,18,1,1,1,20
93941000,93941,345914,1366,18,1,1,1,20
93942000,93942,345575,1366,18,1,1,1,19
