iTOW,TOD,fTOD,Nt,N4,todValid,dateValid,tAcc
93890000,18272,363340,666,8,1,1,51
93891000,18273,362996,666,8,1,1,51
93892000,18274,362653,666,8,1,1,50
93893000,18275,362309,666,8,1,1,50
93894000,18276,361966,666,8,1,1,50
93895000,18277,361623,666,8,1,1,49
93896000,18278,361280,666,8,1,1,49
93897000,18279,360937,666,8,1,1,49
93898000,18280,360593,666,8,1,1,49
93899000,18281,360250,666,8,1,1,49
93900000,18282,359907,666,8,1,1,49
93901000,18283,359564,666,8,1,1,49
93902000,18284,359221,666,8,1,1,48
93903000,18285,358878,666,8,1,1,48
93904000,18286,358535,666,8,1,1,48
93905000,18287,358193,666,8,1,1,47
93906000,18288,357850,666,8,1,1,47
93907000,18289,357506,666,8,1,1,47
93908000,18290,357164,666,8,1,1,46
93909000,18291,356821,666,8,1,1,46
93910000,18292,356479,666,8,1,1,46
93911000,18293,356138,666,8,1,1,45
93912000,18294,355796,666,8,1,1,45
93913000,18295,355454,666,8,1,1,45
93914000,18296,355113,666,8,1,1,45
93915000,18297,354771,666,8,1,1,45
93916000,18298,354429,666,8,1,1,44
93917000,18299,354087,666,8,1,1,44
93918000,18300,353744,666,8,1,1,44
93919000,18301,353402,666,8,1,1,44
93920000,18302,353059,666,8,1,1,44
93921000,18303,352716,666,8,1,1,44
93922000,18304,352374,666,8,1,1,44
93923000,18305,352032,666,8,1,1,44
93924000,18306,351690,666,8,1,1,44
93925000,18307,351348,666,8,1,1,44
93926000,18308,351005,666,8,1,1,44
93927000,18309,350658,666,8,1,1,40
93928000,18310,350316,666,8,1,1,40
93929000,18311,349971,666,8,1,1,37
93930000,18312,349625,666,8,1,1,35
93931000,18313,349282,666,8,1,1,33
93932000,18314,348941,666,8,1,1,31
93933000,18315,348600,666,8,1,1,30
93934000,18316,348260,666,8,1,1,30
93935000,18317,347920,666,8,1,1,30
93936000,18318,347578,666,8,1,1,28
93937000,18319,347238,666,8,1,1,27
93938000,18320,346899,666,8,1,1,25
93939000,18321,346561,666,8,1,1,24
93940000,18322,346222,666,8,1,1,24
93941000,18323,345883,666,8,1,1,23
93942000,18324,345544,666,8,1,1,23
93943000,18325,345206,666,8,1,1,22
93944000,18326,344867,666,8,1,1,21
93945000,18327,344527,666,8,1,1,21
93946000,18328,344188,666,8,1,1,20
93947000,18329,343849,666,8,1,1,20
93948000,18330,343510,666,8,1,1,19
93949000,18331,343171,666,8,1,1,19
93950000,18332,342833,666,8,1,1,19
93951000,18333,342494,666,8,1,1,18
93952000,18334,342155,666,8,1,1,18
93953000,18335,341816,666,8,1,1,18
93954000,18336,341477,666,8,1,1,17
93955000,18337,341139,666,8,1,1,17
93956000,18338,340799,666,8,1,1,17
93957000,18339,340460,666,8,1,1,17
93958000,18340,340121,666,8,1,1,16
93959000,18341,339783,666,8,1,1,16
93960000,18342,339445,666,8,1,1,16
93961000,18343,339108,666,8,1,1,16
93962000,18344,338770,666,8,1,1,15
93963000,18345,338433,666,8,1,1,15
93964000,18346,338094,666,8,1,1,15
93965000,18347,337756,666,8,1,1,15
93966000,18348,337419,666,8,1,1,15
93967000,18349,337082,666,8,1,1,15
93968000,18350,336746,666,8,1,1,14
93969000,18351,336411,666,8,1,1,14
93970000,18352,336076,666,8,1,1,14
93971000,18353,335740,666,8,1,1,14
93972000,18354,335404,666,8,1,1,14
93973000,18355,335068,666,8,1,1,14
93974000,18356,334734,666,8,1,1,14
93975000,18357,334399,666,8,1,1,14
93976000,18358,334065,666,8,1,1,14
93977000,18359,333731,666,8,1,1,14
93978000,18360,333397,666,8,1,1,14
93979000,18361,333064,666,8,1,1,13
93980000,18362,332730,666,8,1,1,13
93981000,18363,332397,666,8,1,1,13
93982000,18364,332065,666,8,1,1,13
93983000,18365,331733,666,8,1,1,13
93984000,18366,331402,666,8,1,1,13
93985000,18367,331070,666,8,1,1,13
93986000,18368,330738,666,8,1,1,12
93987000,18369,330406,666,8,1,1,12
93988000,18370,330074,666,8,1,1,12
93989000,18371,329742,666,8,1,1,11
93990000,18372,329410,666,8,1,1,11
93991000,18373,329078,666,8,1,1,11
93992000,18374,328746,666,8,1,1,11
93993000,18375,328414,666,8,1,1,10
93994000,18376,328083,666,8,1,1,10
93995000,18377,327749,666,8,1,1,10
93996000,18378,327415,666,8,1,1,10
93997000,18379,327082,666,8,1,1,9
93998000,18380,326747,666,8,1,1,9
93999000,18381,326411,666,8,1,1,9
94000000,18382,326076,666,8,1,1,9
94001000,18383,325741,666,8,1,1,8
94002000,18384,325407,666,8,1,1,8
94003000,18385,325073,666,8,1,1,8
94004000,18386,324739,666,8,1,1,8
94005000,18387,324405,666,8,1,1,8
94006000,18388,324070,666,8,1,1,8
94007000,18389,323735,666,8,1,1,8
94008000,18390,323401,666,8,1,1,8
94009000,18391,323066,666,8,1,1,8
94010000,18392,322731,666,8,1,1,8
94011000,18393,322397,666,8,1,1,7
94012000,18394,322063,666,8,1,1,7
94013000,18395,321730,666,8,1,1,7
94014000,18396,321397,666,8,1,1,7
94015000,18397,321063,666,8,1,1,7
94016000,18398,320729,666,8,1,1,7
94017000,18399,320396,666,8,1,1,7
94018000,18400,320062,666,8,1,1,7
94019000,18401,319728,666,8,1,1,7
94020000,18402,319395,666,8,1,1,7
94021000,18403,319060,666,8,1,1,7
94022000,18404,318727,666,8,1,1,7
94023000,18405,318394,666,8,1,1,7
94024000,18406,318061,666,8,1,1,7
94025000,18407,317728,666,8,1,1,7
94026000,18408,317395,666,8,1,1,7
94027000,18409,317063,666,8,1,1,7
94028000,18410,316730,666,8,1,1,7
94029000,18411,316396,666,8,1,1,7
94030000,18412,316062,666,8,1,1,7
94031000,18413,315728,666,8,1,1,7
94032000,18414,315395,666,8,1,1,7
94033000,18415,315061,666,8,1,1,7
94034000,18416,314727,666,8,1,1,7
94035000,18417,314394,666,8,1,1,7
94036000,18418,314062,666,8,1,1,8
94037000,18419,313729,666,8,1,1,8
94038000,18420,313396,666,8,1,1,8
94039000,18421,313064,666,8,1,1,7
94040000,18422,312732,666,8,1,1,7
94041000,18423,312401,666,8,1,1,7
94042000,18424,312069,666,8,1,1,7
94043000,18425,311736,666,8,1,1,7
