iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
93890000,363342,2390,18,1,1,1,21
93891000,362998,2390,18,1,1,1,21
93892000,362655,2390,18,1,1,1,20
93893000,362311,2390,18,1,1,1,20
93894000,361968,2390,18,1,1,1,20
93895000,361625,2390,18,1,1,1,19
93896000,361281,2390,18,1,1,1,19
93897000,360938,2390,18,1,1,1,19
93898000,360595,2390,18,1,1,1,19
93899000,360252,2390,18,1,1,1,19
93900000,359909,2390,18,1,1,1,19
93901000,359566,2390,18,1,1,1,19
93902000,359223,2390,18,1,1,1,18
93903000,358880,2390,18,1,1,1,18
93904000,358537,2390,18,1,1,1,18
93905000,358195,2390,18,1,1,1,17
93906000,357852,2390,18,1,1,1,17
93907000,357508,2390,18,1,1,1,17
93908000,357165,2390,18,1,1,1,16
93909000,356823,2390,18,1,1,1,16
93910000,356481,2390,18,1,1,1,16
93911000,356139,2390,18,1,1,1,15
93912000,355797,2390,18,1,1,1,15
93913000,355456,2390,18,1,1,1,15
93914000,355115,2390,18,1,1,1,15
93915000,354773,2390,18,1,1,1,15
93916000,354431,2390,18,1,1,1,14
93917000,354088,2390,18,1,1,1,14
93918000,353746,2390,18,1,1,1,14
93919000,353404,2390,18,1,1,1,14
93920000,353061,2390,18,1,1,1,14
93921000,352718,2390,18,1,1,1,14
93922000,352376,2390,18,1,1,1,14
93923000,352034,2390,18,1,1,1,14
93924000,351692,2390,18,1,1,1,14
93925000,351349,2390,18,1,1,1,14
93926000,351007,2390,18,1,1,1,14
93927000,350665,2390,18,1,1,1,14
93928000,350324,2390,18,1,1,1,14
93929000,349983,2390,18,1,1,1,13
93930000,349642,2390,18,1,1,1,13
93931000,349301,2390,18,1,1,1,13
93932000,348961,2390,18,1,1,1,13
93933000,348621,2390,18,1,1,1,13
93934000,348281,2390,18,1,1,1,13
93935000,347941,2390,18,1,1,1,13
93936000,347601,2390,18,1,1,1,12
93937000,347262,2390,18,1,1,1,12
93938000,346923,2390,18,1,1,1,12
93939000,346585,2390,18,1,1,1,11
93940000,346247,2390,18,1,1,1,11
93941000,345908,2390,18,1,1,1,11
93942000,345569,2390,18,1,1,1,11
93943000,345230,2390,18,1,1,1,11
