iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
93890000,0,0,1,18,0,0,0,0,0,0,1,0
93891000,0,0,1,18,0,0,0,0,0,0,1,0
93892000,0,0,1,18,0,0,0,0,0,0,1,0
93893000,0,0,1,18,0,0,0,0,0,0,1,0
93894000,0,0,1,18,0,0,0,0,0,0,1,0
93895000,0,0,9,18,8,0,31355723,2441,7,0,1,1
93896000,0,0,9,18,8,0,31355722,2441,7,0,1,1
93897000,0,0,9,18,8,0,31355721,2441,7,0,1,1
93898000,0,0,9,18,8,0,31355720,2441,7,0,1,1
93899000,0,0,9,18,8,0,31355719,2441,7,0,1,1
93900000,0,0,9,18,8,0,31355718,2441,7,0,1,1
93901000,0,0,9,18,8,0,31355717,2441,7,0,1,1
93902000,0,0,9,18,8,0,31355716,2441,7,0,1,1
93903000,0,0,9,18,8,0,31355715,2441,7,0,1,1
93904000,0,0,9,18,8,0,31355714,2441,7,0,1,1
93905000,0,0,9,18,8,0,31355713,2441,7,0,1,1
93906000,0,0,9,18,8,0,31355712,2441,7,0,1,1
93907000,0,0,9,18,8,0,31355711,2441,7,0,1,1
93908000,0,0,5,18,5,0,31355710,2441,7,0,1,1
93909000,0,0,5,18,5,0,31355709,2441,7,0,1,1
93910000,0,0,5,18,5,0,31355708,2441,7,0,1,1
93911000,0,0,5,18,5,0,31355707,2441,7,0,1,1
93912000,0,0,5,18,5,0,31355706,2441,7,0,1,1
93913000,0,0,5,18,5,0,31355705,2441,7,0,1,1
93914000,0,0,5,18,5,0,31355704,2441,7,0,1,1
93915000,0,0,4,18,4,0,31355703,2441,7,0,1,1
93916000,0,0,4,18,4,0,31355702,2441,7,0,1,1
93917000,0,0,4,18,4,0,31355701,2441,7,0,1,1
93918000,0,0,4,18,4,0,31355700,2441,7,0,1,1
93919000,0,0,4,18,4,0,31355699,2441,7,0,1,1
93920000,0,0,4,18,4,0,31355698,2441,7,0,1,1
93921000,0,0,4,18,4,0,31355697,2441,7,0,1,1
93922000,0,0,4,18,4,0,31355696,2441,7,0,1,1
93923000,0,0,4,18,4,0,31355695,2441,7,0,1,1
93924000,0,0,4,18,4,0,31355694,2441,7,0,1,1
93925000,0,0,4,18,4,0,31355693,2441,7,0,1,1
93926000,0,0,4,18,4,0,31355692,2441,7,0,1,1
93927000,0,0,4,18,4,0,31355691,2441,7,0,1,1
93928000,0,0,4,18,4,0,31355690,2441,7,0,1,1
93929000,0,0,4,18,4,0,31355689,2441,7,0,1,1
93930000,0,0,4,18,4,0,31355688,2441,7,0,1,1
93931000,0,0,4,18,4,0,31355687,2441,7,0,1,1
93932000,0,0,4,18,4,0,31355686,2441,7,0,1,1
93933000,0,0,4,18,4,0,31355685,2441,7,0,1,1
93934000,0,0,4,18,4,0,31355684,2441,7,0,1,1
93935000,0,0,4,18,4,0,31355683,2441,7,0,1,1
93936000,0,0,4,18,4,0,31355682,2441,7,0,1,1
93937000,0,0,4,18,4,0,31355681,2441,7,0,1,1
93938000,0,0,4,18,4,0,31355680,2441,7,0,1,1
93939000,0,0,4,18,4,0,31355679,2441,7,0,1,1
93940000,0,0,4,18,4,0,31355678,2441,7,0,1,1
93941000,0,0,4,18,4,0,31355677,2441,7,0,1,1
93942000,0,0,4,18,4,0,31355676,2441,7,0,1,1
93943000,0,0,4,18,4,0,31355675,2441,7,0,1,1
93944000,0,0,4,18,4,0,31355674,2441,7,0,1,1
93945000,0,0,4,18,4,0,31355673,2441,7,0,1,1
