iTOW,qzssTow,fQzssTow,qzssWno,leapS,qzssTowValid,qzssWnoValid,leapSValid,tAcc
93890000,93890,363342,2390,18,1,1,1,35
93891000,93891,362998,2390,18,1,1,1,34
93892000,93892,362655,2390,18,1,1,1,34
93893000,93893,362311,2390,18,1,1,1,33
93894000,93894,361968,2390,18,1,1,1,33
93895000,93895,361625,2390,18,1,1,1,33
93896000,93896,361282,2390,18,1,1,1,32
93897000,93897,360938,2390,18,1,1,1,32
93898000,93898,360595,2390,18,1,1,1,32
93899000,93899,360252,2390,18,1,1,1,32
93900000,93900,359909,2390,18,1,1,1,32
93901000,93901,359566,2390,18,1,1,1,32
93902000,93902,359223,2390,18,1,1,1,32
93903000,93903,358880,2390,18,1,1,1,31
93904000,93904,358537,2390,18,1,1,1,31
93905000,93905,358195,2390,18,1,1,1,31
93906000,93906,357852,2390,18,1,1,1,30
93907000,93907,357508,2390,18,1,1,1,30
93908000,93908,357165,2390,18,1,1,1,30
93909000,93909,356823,2390,18,1,1,1,29
93910000,93910,356481,2390,18,1,1,1,29
93911000,93911,356139,2390,18,1,1,1,29
93912000,93912,355797,2390,18,1,1,1,29
93913000,93913,355456,2390,18,1,1,1,28
93914000,93914,355115,2390,18,1,1,1,28
93915000,93915,354773,2390,18,1,1,1,28
93916000,93916,354431,2390,18,1,1,1,28
93917000,93917,354088,2390,18,1,1,1,28
93918000,93918,353746,2390,18,1,1,1,27
93919000,93919,353404,2390,18,1,1,1,27
93920000,93920,353061,2390,18,1,1,1,27
93921000,93921,352718,2390,18,1,1,1,27
93922000,93922,352376,2390,18,1,1,1,27
93923000,93923,352034,2390,18,1,1,1,27
93924000,93924,351692,2390,18,1,1,1,27
93925000,93925,351349,2390,18,1,1,1,27
93926000,93926,351007,2390,18,1,1,1,27
93927000,93927,350665,2390,18,1,1,1,27
93928000,93928,350324,2390,18,1,1,1,27
93929000,93929,349983,2390,18,1,1,1,27
93930000,93930,349642,2390,18,1,1,1,27
