iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
93890000,1021,363341,2025,10,27,2,4,32,1,1,1,0,15
93891000,1021,362998,2025,10,27,2,4,33,1,1,1,0,15
93892000,1020,362654,2025,10,27,2,4,34,1,1,1,0,15
93893000,1020,362311,2025,10,27,2,4,35,1,1,1,0,15
93894000,1020,361968,2025,10,27,2,4,36,1,1,1,0,15
93895000,1019,361624,2025,10,27,2,4,37,1,1,1,0,15
93896000,1019,361281,2025,10,27,2,4,38,1,1,1,0,15
93897000,1019,360938,2025,10,27,2,4,39,1,1,1,0,15
93898000,1019,360594,2025,10,27,2,4,40,1,1,1,0,15
93899000,1019,360251,2025,10,27,2,4,41,1,1,1,0,15
93900000,1019,359908,2025,10,27,2,4,42,1,1,1,0,15
93901000,1019,359566,2025,10,27,2,4,43,1,1,1,0,15
93902000,1018,359222,2025,10,27,2,4,44,1,1,1,0,15
93903000,1018,358879,2025,10,27,2,4,45,1,1,1,0,15
93904000,1018,358537,2025,10,27,2,4,46,1,1,1,0,15
93905000,1017,358194,2025,10,27,2,4,47,1,1,1,0,15
93906000,1017,357852,2025,10,27,2,4,48,1,1,1,0,15
93907000,1017,357507,2025,10,27,2,4,49,1,1,1,0,15
93908000,1016,357165,2025,10,27,2,4,50,1,1,1,0,15
93909000,1016,356823,2025,10,27,2,4,51,1,1,1,0,15
93910000,1016,356480,2025,10,27,2,4,52,1,1,1,0,15
93911000,1015,356139,2025,10,27,2,4,53,1,1,1,0,15
93912000,1015,355797,2025,10,27,2,4,54,1,1,1,0,15
93913000,1015,355456,2025,10,27,2,4,55,1,1,1,0,15
93914000,1015,355114,2025,10,27,2,4,56,1,1,1,0,15
93915000,1015,354772,2025,10,27,2,4,57,1,1,1,0,15
93916000,1014,354430,2025,10,27,2,4,58,1,1,1,0,15
93917000,1014,354088,2025,10,27,2,4,59,1,1,1,0,15
93918000,1014,353746,2025,10,27,2,5,0,1,1,1,0,15
93919000,1014,353403,2025,10,27,2,5,1,1,1,1,0,15
93920000,1014,353061,2025,10,27,2,5,2,1,1,1,0,15
93921000,1014,352718,2025,10,27,2,5,3,1,1,1,0,15
93922000,1014,352375,2025,10,27,2,5,4,1,1,1,0,15
93923000,1014,352033,2025,10,27,2,5,5,1,1,1,0,15
93924000,1014,351691,2025,10,27,2,5,6,1,1,1,0,15
93925000,1014,351349,2025,10,27,2,5,7,1,1,1,0,15
93926000,1014,351007,2025,10,27,2,5,8,1,1,1,0,15
93927000,1014,350665,2025,10,27,2,5,9,1,1,1,0,15
93928000,1014,350323,2025,10,27,2,5,10,1,1,1,0,15
93929000,1013,349982,2025,10,27,2,5,11,1,1,1,0,15
93930000,1013,349641,2025,10,27,2,5,12,1,1,1,0,15
93931000,1013,349301,2025,10,27,2,5,13,1,1,1,0,15
93932000,1013,348961,2025,10,27,2,5,14,1,1,1,0,15
93933000,1013,348620,2025,10,27,2,5,15,1,1,1,0,15
93934000,1013,348281,2025,10,27,2,5,16,1,1,1,0,15
93935000,1013,347941,2025,10,27,2,5,17,1,1,1,0,15
93936000,1012,347601,2025,10,27,2,5,18,1,1,1,0,15
93937000,1012,347262,2025,10,27,2,5,19,1,1,1,0,15
93938000,1012,346923,2025,10,27,2,5,20,1,1,1,0,15
93939000,1011,346585,2025,10,27,2,5,21,1,1,1,0,15
93940000,1011,346246,2025,10,27,2,5,22,1,1,1,0,15
