version,reserved0,gpsTOW,gloTOW,bdsTOW,reserved1,qzssTOW,gpsTOWacc,gloTOWacc,bdsTOWacc,reserved2,qzssTOWacc,numSv,towSet,reserved3,gnssId_01,svId_01,cNo_01,mpathIndic_01,dopplerMS_01,dopplerHz_01,wholeChips_01,fracChips_01,codePhase_01,intCodePhase_01,pseuRangeRMSErr_01,reserved4_01,gnssId_02,svId_02,cNo_02,mpathIndic_02,dopplerMS_02,dopplerHz_02,wholeChips_02,fracChips_02,codePhase_02,intCodePhase_02,pseuRangeRMSErr_02,reserved4_02,gnssId_03,svId_03,cNo_03,mpathIndic_03,dopplerMS_03,dopplerHz_03,wholeChips_03,fracChips_03,codePhase_03,intCodePhase_03,pseuRangeRMSErr_03,reserved4_03,gnssId_04,svId_04,cNo_04,mpathIndic_04,dopplerMS_04,dopplerHz_04,wholeChips_04,fracChips_04,codePhase_04,intCodePhase_04,pseuRangeRMSErr_04,reserved4_04,gnssId_05,svId_05,cNo_05,mpathIndic_05,dopplerMS_05,dopplerHz_05,wholeChips_05,fracChips_05,codePhase_05,intCodePhase_05,pseuRangeRMSErr_05,reserved4_05,gnssId_06,svId_06,cNo_06,mpathIndic_06,dopplerMS_06,dopplerHz_06,wholeChips_06,fracChips_06,codePhase_06,intCodePhase_06,pseuRangeRMSErr_06,reserved4_06,gnssId_07,svId_07,cNo_07,mpathIndic_07,dopplerMS_07,dopplerHz_07,wholeChips_07,fracChips_07,codePhase_07,intCodePhase_07,pseuRangeRMSErr_07,reserved4_07,gnssId_08,svId_08,cNo_08,mpathIndic_08,dopplerMS_08,dopplerHz_08,wholeChips_08,fracChips_08,codePhase_08,intCodePhase_08,pseuRangeRMSErr_08,reserved4_08,gnssId_09,svId_09,cNo_09,mpathIndic_09,dopplerMS_09,dopplerHz_09,wholeChips_09,fracChips_09,codePhase_09,intCodePhase_09,pseuRangeRMSErr_09,reserved4_09,gnssId_10,svId_10,cNo_10,mpathIndic_10,dopplerMS_10,dopplerHz_10,wholeChips_10,fracChips_10,codePhase_10,intCodePhase_10,pseuRangeRMSErr_10,reserved4_10,gnssId_11,svId_11,cNo_11,mpathIndic_11,dopplerMS_11,dopplerHz_11,wholeChips_11,fracChips_11,codePhase_11,intCodePhase_11,pseuRangeRMSErr_11,reserved4_11,gnssId_12,svId_12,cNo_12,mpathIndic_12,dopplerMS_12,dopplerHz_12,wholeChips_12,fracChips_12,codePhase_12,intCodePhase_12,pseuRangeRMSErr_12,reserved4_12,gnssId_13,svId_13,cNo_13,mpathIndic_13,dopplerMS_13,dopplerHz_13,wholeChips_13,fracChips_13,codePhase_13,intCodePhase_13,pseuRangeRMSErr_13,reserved4_13,gnssId_14,svId_14,cNo_14,mpathIndic_14,dopplerMS_14,dopplerHz_14,wholeChips_14,fracChips_14,codePhase_14,intCodePhase_14,pseuRangeRMSErr_14,reserved4_14,gnssId_15,svId_15,cNo_15,mpathIndic_15,dopplerMS_15,dopplerHz_15,wholeChips_15,fracChips_15,codePhase_15,intCodePhase_15,pseuRangeRMSErr_15,reserved4_15,gnssId_16,svId_16,cNo_16,mpathIndic_16,dopplerMS_16,dopplerHz_16,wholeChips_16,fracChips_16,codePhase_16,intCodePhase_16,pseuRangeRMSErr_16,reserved4_16,gnssId_17,svId_17,cNo_17,mpathIndic_17,dopplerMS_17,dopplerHz_17,wholeChips_17,fracChips_17,codePhase_17,intCodePhase_17,pseuRangeRMSErr_17,reserved4_17,gnssId_18,svId_18,cNo_18,mpathIndic_18,dopplerMS_18,dopplerHz_18,wholeChips_18,fracChips_18,codePhase_18,intCodePhase_18,pseuRangeRMSErr_18,reserved4_18,gnssId_19,svId_19,cNo_19,mpathIndic_19,dopplerMS_19,dopplerHz_19,wholeChips_19,fracChips_19,codePhase_19,intCodePhase_19,pseuRangeRMSErr_19,reserved4_19,gnssId_20,svId_20,cNo_20,mpathIndic_20,dopplerMS_20,dopplerHz_20,wholeChips_20,fracChips_20,codePhase_20,intCodePhase_20,pseuRangeRMSErr_20,reserved4_20,gnssId_21,svId_21,cNo_21,mpathIndic_21,dopplerMS_21,dopplerHz_21,wholeChips_21,fracChips_21,codePhase_21,intCodePhase_21,pseuRangeRMSErr_21,reserved4_21
1,0,93890000,104672000,93876000,93890000,93890000,0.0,0.0,0.0,0,0.0,21,2,0,5,3,38,1,-124.36,-653.6,689,475,0.673963069916,0,0,0,3,39,38,1,-100.92,-525.4,1339,338,0.654609203339,0,0,0,3,37,31,1,477.12,2484.4,1689,201,0.825609207153,0,6,0,2,27,34,1,103.2,542.2,4037,686,0.946891784668,3,0,0,2,21,35,1,340.4,1788.8,812,333,0.794062137604,0,0,0,0,10,27,1,421.96,2217.4,483,374,0.472498893738,0,1,0,5,4,10,1,18.76,98.6,379,408,0.370869159698,0,28,0,1,137,41,1,-102.76,-540.0,416,485,0.407110214233,0,0,0,0,12,39,1,184.8,971.0,883,771,0.863883495331,0,0,0,6,16,17,1,-483.4,-2582.2,162,279,0.317560195923,0,33,0,6,9,45,1,238.56,1273.8,43,20,0.084188461304,0,0,0,3,23,44,1,72.36,376.8,1329,1021,0.650047302246,0,0,0,3,16,37,1,-70.16,-365.4,980,811,0.479371070862,0,0,0,3,9,27,1,-4.92,-25.6,147,667,0.072165966034,0,15,0,3,13,38,1,69.92,364.0,71,742,0.035056591034,0,0,0,3,38,40,1,-4.72,-24.6,1821,477,0.890257358551,0,0,0,3,8,39,1,51.8,269.8,668,662,0.326807022095,0,0,0,0,18,36,1,-601.84,-3162.6,138,847,0.13570690155,0,0,0,0,24,22,1,-665.4,-3496.6,357,926,0.349858283997,0,25,0,0,25,43,1,422.12,2218.2,528,793,0.516886711121,0,0,0,0,23,43,1,37.32,196.0,95,794,0.093622684479,0,0,0
1,0,93891000,104673000,93877000,93891000,93891000,0.0,0.0,0.0,0,0.0,22,2,0,5,3,40,1,-124.4,-653.8,689,910,0.674378395081,0,0,0,0,5,18,1,-482.88,-2537.6,956,745,0.935218334198,0,54,0,3,39,37,1,-100.96,-525.8,1340,21,0.654946804047,0,0,0,3,37,31,1,476.76,2482.6,1685,969,0.824020862579,0,3,0,2,27,34,1,103.2,542.4,4037,325,0.94654750824,3,0,0,2,21,36,1,340.24,1788.0,811,169,0.792927742004,0,0,0,0,10,27,1,421.84,2216.8,481,947,0.47109079361,0,0,0,5,4,13,1,20.72,109.0,379,342,0.370806217194,0,27,0,1,137,39,1,-102.68,-539.6,416,844,0.40745306015,0,0,0,0,12,39,1,184.56,969.8,883,126,0.86326789856,0,0,0,6,16,16,2,-489.16,-2613.0,163,100,0.319174289703,0,38,0,6,9,45,1,238.44,1273.2,42,628,0.083393096924,0,0,0,3,23,42,1,72.2,375.8,1329,515,0.649806499481,0,0,0,3,16,35,1,-70.32,-366.0,981,278,0.479605197906,0,0,0,3,9,27,1,-4.92,-25.6,147,693,0.0721783638,0,12,0,3,13,37,1,69.8,363.4,71,253,0.034822940826,0,0,0,3,38,40,1,-4.84,-25.2,1821,510,0.890273094177,0,0,0,3,8,39,1,51.72,269.4,668,300,0.326633930206,0,0,0,0,18,36,1,-602.0,-3163.6,140,903,0.137714385986,0,0,0,0,24,31,1,-665.16,-3495.4,360,173,0.352071285248,0,22,0,0,25,43,1,422.12,2218.4,527,342,0.515478610992,0,0,0
1,0,93892000,104674000,93878000,93892000,93892000,0.0,0.0,0.0,0,0.0,23,2,0,5,3,38,1,-124.48,-654.0,690,321,0.674793720245,0,0,0,0,5,15,1,-482.88,-2537.6,958,384,0.936829090118,0,48,0,3,6,30,1,-32.68,-170.2,344,819,0.168524265289,0,39,0,3,39,36,1,-100.92,-525.6,1340,727,0.65528345108,0,0,0,3,37,32,1,477.0,2483.8,1682,710,0.822431087494,0,0,0,2,27,31,1,102.96,541.2,4036,988,0.946202754974,3,0,0,2,21,36,1,340.32,1788.2,810,3,0.791792392731,0,0,0,0,10,27,1,421.84,2216.8,480,497,0.469683170319,0,0,0,5,4,13,1,16.4,86.2,379,272,0.370738983154,0,33,0,1,137,36,1,-102.8,-540.2,417,179,0.407796382904,0,0,0,0,12,42,1,184.52,969.8,882,505,0.862652778625,0,0,0,6,16,21,1,-484.04,-2585.6,163,943,0.320785045624,0,30,0,6,9,43,1,238.24,1272.2,42,212,0.082598209381,0,0,0,3,23,41,1,72.04,375.2,1329,11,0.649565696716,0,0,0,3,16,36,1,-70.24,-365.8,981,769,0.479839324951,0,0,0,3,9,27,1,-4.72,-24.6,147,747,0.072204113007,0,11,0,3,13,39,1,69.8,363.4,70,789,0.034589767456,0,0,0,3,38,42,1,-4.8,-25.0,1821,544,0.890289306641,0,0,0,3,8,40,1,51.72,269.2,667,963,0.326461791992,0,0,0,0,18,33,1,-602.12,-3164.2,142,958,0.139722824097,0,0,0,0,24,35,1,-665.32,-3496.2,362,449,0.354290485382,0,11,0
1,0,93893000,104675000,93879000,93893000,93893000,0.0,0.0,0.0,0,0.0,23,2,0,5,3,39,1,-124.48,-654.2,690,756,0.67520904541,0,0,0,0,5,12,1,-482.88,-2537.6,960,29,0.938444137573,0,42,0,3,6,23,1,-32.64,-170.0,345,28,0.168635368347,0,27,0,3,39,36,1,-100.92,-525.6,1341,409,0.655620574951,0,0,0,3,37,29,1,476.92,2483.4,1679,449,0.820840358734,0,0,0,2,27,32,1,103.08,541.8,4036,628,0.94585943222,3,0,0,2,21,37,1,340.28,1788.0,808,862,0.790657520294,0,0,0,0,10,28,1,421.88,2217.0,479,47,0.468275547028,0,0,0,5,4,11,1,16.4,86.2,379,219,0.370688915253,0,33,0,1,137,37,1,-102.76,-540.0,417,538,0.408139228821,0,0,0,0,12,41,1,184.48,969.4,881,884,0.862037181854,0,0,0,6,16,26,1,-484.52,-2588.2,164,764,0.322399616241,0,23,0,6,9,43,1,238.12,1271.6,41,821,0.081804275513,0,0,0,3,23,41,1,71.96,374.8,1328,531,0.649325370789,0,0,0,3,16,36,1,-70.24,-365.6,982,236,0.480073928833,0,0,0,3,9,27,1,-4.76,-24.8,147,748,0.072204589844,0,11,0,3,13,40,1,69.8,363.4,70,300,0.034356594086,0,0,0,3,38,42,1,-4.8,-25.0,1821,578,0.890305519104,0,0,0,3,8,40,1,51.76,269.4,667,601,0.326289176941,0,0,0,0,18,34,1,-602.24,-3164.8,144,1015,0.141731262207,0,0,0,0,24,37,1,-665.28,-3496.0,364,721,0.356504917145,0,7,0
1,0,93894000,104676000,93880000,93894000,93894000,0.0,0.0,0.0,0,0.0,22,2,0,5,3,38,1,-124.44,-654.0,691,167,0.675624370575,0,0,0,0,5,9,1,-482.88,-2537.6,961,707,0.940068721771,0,39,0,3,6,22,1,-33.64,-175.0,345,229,0.168731212616,0,30,0,3,39,36,1,-101.0,-525.8,1342,90,0.655957221985,0,0,0,3,37,29,1,476.88,2483.2,1676,188,0.819249629974,0,0,0,2,27,31,1,103.0,541.2,4036,267,0.945514678955,3,1,0,2,21,35,1,340.44,1789.0,807,697,0.789522171021,0,0,0,0,10,30,1,421.8,2216.6,477,619,0.466867446899,0,1,0,1,137,36,1,-102.8,-540.2,417,898,0.408482074738,0,0,0,0,12,41,1,184.48,969.6,881,240,0.86142206192,0,0,0,6,16,26,1,-484.64,-2588.8,165,588,0.324021816254,0,22,0,6,9,43,1,238.04,1271.0,41,405,0.081010341644,0,0,0,3,23,40,1,71.92,374.6,1328,29,0.649085521698,0,0,0,3,16,34,1,-70.0,-364.4,982,727,0.480308055878,0,0,0,3,9,26,1,-4.84,-25.2,147,759,0.07221031189,0,15,0,3,13,39,1,70.0,364.6,69,836,0.034123897552,0,0,0,3,38,42,1,-4.8,-25.0,1821,613,0.890322208405,0,0,0,3,8,39,1,51.84,270.0,667,240,0.32611656189,0,0,0,0,18,34,1,-602.08,-3164.0,147,47,0.143739700317,0,0,0,0,24,37,1,-665.36,-3496.6,366,1002,0.358727931976,0,7,0,0,25,42,1,422.04,2217.8,523,14,0.511255741119,0,0,0
1,0,93895000,104677000,93881000,93895000,93895000,0.0,0.0,0.0,0,0.0,22,2,0,5,3,37,1,-124.44,-654.0,691,602,0.67603969574,0,0,0,0,5,8,1,-482.88,-2537.6,963,349,0.941682338715,0,36,0,3,6,23,1,-32.36,-168.4,345,501,0.168860912323,0,27,0,3,39,38,1,-101.04,-526.2,1342,796,0.656294345856,0,0,0,3,37,30,1,477.12,2484.4,1672,953,0.817659378052,0,1,0,2,27,30,1,103.04,541.6,4035,931,0.945170402527,3,3,0,2,21,37,1,340.36,1788.6,806,531,0.78838634491,0,0,0,0,10,29,1,422.0,2217.6,476,168,0.465459346771,0,3,0,1,137,36,1,-102.64,-539.4,418,233,0.408824920654,0,0,0,0,12,40,1,184.44,969.2,880,620,0.860807418823,0,0,0,6,16,27,1,-484.8,-2589.8,166,412,0.325640678406,0,19,0,6,9,43,1,237.84,1270.2,40,1014,0.080216407776,0,0,0,3,23,40,1,71.84,374.0,1327,550,0.64884519577,0,0,0,3,16,36,1,-70.36,-366.4,983,193,0.480542182922,0,0,0,3,9,27,1,-4.92,-25.6,147,850,0.072253704071,0,15,0,3,13,37,1,69.96,364.2,69,348,0.033890724182,0,0,0,3,38,40,1,-4.72,-24.6,1821,647,0.890338420868,0,0,0,3,8,38,1,51.76,269.6,666,901,0.325943470001,0,0,0,0,18,34,1,-602.24,-3164.8,149,103,0.145748615265,0,0,0,0,24,31,1,-665.28,-3496.0,369,262,0.360954284668,0,9,0,0,25,41,1,422.0,2217.6,521,588,0.509847640991,0,0,0
1,0,93896000,104678000,93882000,93896000,93896000,0.0,0.0,0.0,0,0.0,22,2,0,5,3,37,1,-124.4,-653.6,692,13,0.676454544067,0,0,0,0,5,8,1,-482.88,-2537.6,964,1011,0.943292617798,0,35,0,3,6,24,1,-32.36,-168.4,345,718,0.168964862823,0,26,0,3,39,39,1,-100.88,-525.2,1343,478,0.656630992889,0,0,0,3,37,32,1,476.96,2483.6,1669,692,0.816068649292,0,0,0,2,27,31,1,102.84,540.4,4035,572,0.944828510284,3,2,0,2,21,37,1,340.48,1789.2,805,365,0.787250518799,0,0,0,0,10,30,1,422.04,2217.8,474,743,0.464052677155,0,3,0,1,137,36,1,-102.64,-539.4,418,592,0.409167766571,0,0,0,0,12,40,1,184.32,968.6,879,1000,0.860192298889,0,0,0,6,16,27,2,-484.84,-2589.8,167,234,0.327259063721,0,19,0,6,9,43,1,237.8,1269.8,40,599,0.079422950745,0,0,0,3,23,40,1,71.8,374.0,1327,49,0.648605823517,0,0,0,3,16,36,1,-70.12,-365.0,983,683,0.48077583313,0,0,0,3,9,27,1,-4.8,-25.0,147,871,0.072263240814,0,14,0,3,13,40,1,69.96,364.4,68,882,0.033657073975,0,0,0,3,38,42,1,-4.8,-25.0,1821,679,0.890353679657,0,0,0,3,8,39,1,51.8,269.8,666,539,0.32577085495,0,0,0,0,18,35,1,-602.28,-3165.0,151,159,0.147757530212,0,0,0,0,24,35,1,-665.36,-3496.6,371,535,0.363170146942,0,9,0,0,25,41,1,422.04,2218.0,520,136,0.508439540863,0,0,0
1,0,93897000,104679000,93883000,93897000,93897000,0.0,0.0,0.0,0,0.0,23,2,0,0,28,20,1,468.44,2461.8,112,614,0.110068798065,0,50,0,5,3,31,1,-124.4,-653.8,692,448,0.676869869232,0,0,0,0,5,8,1,-482.88,-2537.6,966,662,0.944913864136,0,34,0,3,6,27,1,-33.6,-174.8,345,947,0.169074058533,0,19,0,3,39,24,1,-104.64,-545.0,1344,164,0.656970024109,0,14,0,3,37,25,1,476.64,2482.0,1666,433,0.814478397369,0,0,0,2,27,25,1,102.64,539.4,4035,211,0.944483280182,3,10,0,2,21,29,1,340.64,1790.2,804,200,0.786115646362,0,0,0,0,10,19,1,422.32,2219.2,473,295,0.462647914886,0,24,0,1,137,32,1,-102.8,-540.2,418,951,0.409510135651,0,0,0,0,12,27,1,184.4,969.2,879,356,0.859577655792,0,0,0,6,16,24,1,-485.08,-2591.2,168,59,0.328880786896,0,27,0,6,9,37,1,237.6,1268.8,40,184,0.078629970551,0,0,0,3,23,36,1,71.6,372.8,1326,572,0.648366928101,0,0,0,3,16,29,1,-70.0,-364.6,984,150,0.481010437012,0,0,0,3,9,17,1,-4.24,-22.2,147,900,0.072277545929,0,26,0,3,13,27,1,70.0,364.6,68,393,0.033423423767,0,0,0,3,38,29,1,-5.0,-26.2,1821,713,0.89036989212,0,0,0,3,8,27,1,51.84,270.0,666,178,0.325598239899,0,0,0,0,18,26,1,-602.56,-3166.4,153,216,0.149766921997,0,0,0,0,24,25,1,-666.6,-3503.0,373,812,0.365389823914,0,9,0
1,0,93898000,104680000,93884000,93898000,93898000,0.0,0.0,0.0,0,0.0,23,2,0,0,28,16,1,470.48,2472.4,111,36,0.108539104462,0,45,0,5,3,37,1,-124.48,-654.2,692,881,0.677282810211,0,8,0,0,5,7,1,-482.88,-2537.6,968,303,0.946526050568,0,34,0,3,6,25,1,-32.56,-169.4,346,160,0.169187068939,0,25,0,3,39,24,1,-101.64,-529.4,1344,876,0.657310009003,0,23,0,3,37,33,1,477.0,2483.8,1663,169,0.812886714935,0,0,0,2,27,39,1,102.72,539.8,4034,888,0.944151878357,3,9,0,2,21,34,1,340.48,1789.2,803,36,0.784981250763,0,0,0,0,10,16,1,422.24,2219.0,471,871,0.461242198944,0,25,0,1,137,35,1,-102.64,-539.4,419,285,0.409852027893,0,9,0,0,12,42,1,184.12,967.6,878,736,0.858963489532,0,0,0,6,16,21,2,-485.08,-2591.2,168,905,0.330496788025,0,26,0,6,9,40,1,237.6,1268.8,39,793,0.077837467194,0,0,0,3,23,40,1,71.6,372.8,1326,71,0.648128032684,0,0,0,3,16,30,1,-70.32,-366.2,984,651,0.481249332428,0,11,0,3,9,18,1,-5.44,-28.2,147,925,0.072288990021,0,26,0,3,13,35,1,70.0,364.4,67,928,0.033190250397,0,0,0,3,38,36,1,-4.92,-25.6,1821,746,0.890385627747,0,0,0,3,8,33,1,51.64,269.0,665,827,0.325419425964,0,9,0,0,18,25,1,-602.0,-3163.6,155,272,0.15177488327,0,22,0,0,24,35,1,-665.48,-3497.2,376,73,0.367616653442,0,17,0
1,0,93899000,104681000,93885000,93899000,93899000,0.0,0.0,0.0,0,0.0,22,2,0,0,28,16,1,470.48,2472.4,109,457,0.106985569,0,41,0,5,3,39,1,-124.36,-653.4,693,290,0.677696704865,0,6,0,3,6,35,1,-32.56,-169.6,346,375,0.169289588928,0,17,0,3,39,35,1,-100.88,-525.2,1345,551,0.657643795013,0,13,0,3,37,38,1,477.08,2484.2,1659,932,0.811295509338,0,0,0,2,27,39,1,102.8,540.2,4034,529,0.943809509277,3,7,0,2,21,31,1,340.56,1789.6,801,895,0.783845901489,0,1,0,1,137,37,1,-102.64,-539.4,419,644,0.410194396973,0,0,0,0,12,40,1,184.16,967.8,878,93,0.858349323273,0,0,0,6,16,17,1,-484.68,-2589.2,169,725,0.332110881805,0,29,0,6,9,42,1,237.44,1268.0,39,379,0.077045440674,0,0,0,6,255,25,1,692.08,3704.8,134,911,0.263972759247,0,61,0,3,23,39,1,71.68,373.2,1325,594,0.647889137268,0,0,0,3,16,34,1,-70.12,-365.2,985,107,0.481478214264,0,7,0,3,9,31,1,-4.56,-23.6,147,962,0.072306632996,0,17,0,3,13,30,1,70.12,365.2,67,439,0.032956600189,0,0,0,3,38,39,1,-4.76,-24.8,1821,779,0.890401363373,0,0,0,3,8,34,1,52.08,271.2,665,464,0.325246334076,0,9,0,0,18,37,1,-602.32,-3165.2,157,331,0.153786182404,0,18,0,0,24,34,1,-665.4,-3496.8,378,345,0.369831085205,0,9,0,0,25,36,1,422.04,2217.8,515,834,0.504217624664,0,0,0
