gnssId,svId,sigId,freqId,numWords,chn,version,reserved0,dwrd_01,dwrd_02,dwrd_03,dwrd_04
6,9,0,5,4,14,2,0,135546940,1576825112,1612222464,45744133
6,9,2,5,4,89,2,32,135546940,1576825112,1612222464,45744133
0,23,4,0,10,82,2,32,2338197993,4154738,2492705007,3174401
0,24,4,0,10,83,2,32,2338460137,1795442,2512150257,2154770433
0,25,4,0,10,84,2,32,2338722281,8874226,2491014368,4293838849
5,4,4,0,10,85,2,32,2333225449,10646530,2315232465,4294821888
1,137,0,0,8,19,2,205,2584764413,4292869631,3757834335,4261404669
6,9,2,5,4,89,2,0,135546940,1576825112,1612222464,45744133
0,23,4,0,10,82,2,205,2338197993,4154738,2492705007,3174401
0,24,4,0,10,83,2,0,2338460137,1795442,2512150257,2154770433
0,25,4,0,10,84,2,0,2338722281,8874226,2491014368,4293838849
5,4,4,0,10,85,2,0,2333225449,10646530,2315232465,4294821888
3,23,0,0,10,11,2,0,948965728,985141253,135540119,755954455
3,38,0,0,10,7,2,0,948965728,985141253,135540119,755154980
3,6,2,0,10,66,2,32,948965728,985137152,135540119,755322659
3,16,2,0,10,67,2,0,948965728,985137152,135540119,759058614
3,8,2,0,10,68,2,0,948965728,985137152,135540119,755437353
3,16,0,0,10,10,2,0,948965728,985137152,135540119,759058614
3,8,0,0,10,6,2,0,948965728,985137152,135540119,755437353
3,13,0,0,10,8,2,0,948965728,985137152,135540119,758771897
3,6,2,0,10,66,2,0,948965728,985137152,135540119,755322659
3,13,2,0,10,65,2,0,948965728,985137152,135540119,758771897
3,13,2,0,10,65,2,0,948965728,985137152,135540119,758771897
3,16,2,0,10,67,2,0,948965728,985137152,135540119,759058614
3,8,2,0,10,68,2,0,948965728,985137152,135540119,755437353
2,21,1,0,8,22,2,0,9786709,1431655765,1431655765,1431846912
2,27,1,0,8,23,2,0,9786709,1431655765,1431655765,1431846912
1,137,0,0,8,19,2,0,3326648576,67092481,4290773247,4026548208
6,9,2,5,4,89,2,32,278201396,1537479075,3847940096,45744133
6,9,0,5,4,14,2,0,278201396,1537479075,3847940096,45744133
6,9,2,5,4,89,2,205,278201396,1537479075,3847940096,45744133
1,137,0,0,8,19,2,205,1399456949,2765823952,3729125929,2434599026
2,21,1,0,8,22,2,0,17237518,3734159432,750745,2852438016
2,27,1,0,8,23,2,0,17237518,127316240,2036121,2852438016
1,137,0,0,8,19,2,0,2600206336,0,0,0
0,23,0,0,10,0,2,0,583095850,2275683400,385933160,239278467
0,18,0,0,10,4,2,86,583095850,2275683400,385933160,239278467
0,10,0,0,10,21,2,86,583095850,2275683400,385932998,2474842570
0,25,0,0,10,1,2,86,583095850,2275683400,385932998,2474842570
0,12,0,0,10,18,2,86,583095850,2275683400,385933115,239278467
6,9,2,5,4,89,2,32,402764219,2590786666,2815991808,45744133
6,9,0,5,4,14,2,86,402764219,2590786666,2815991808,45744133
6,9,2,5,4,89,2,0,402764219,2590786666,2815991808,45744133
5,3,0,0,10,37,2,0,583051905,2275681447,1040662563,1048399310
1,137,0,0,8,19,2,32,3322765308,6290943,3221356511,4261404668
2,27,1,0,8,23,2,32,50806769,1984464513,1757731908,2567028736
2,21,1,0,8,22,2,0,50806769,1359522753,973397572,2101444608
